Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-01-16,1924.89,1944.2,1901.5,1933.08,18386777
2023-01-17,1928.12,1932.16,1898.34,1904.51,19449736
2023-01-18,1906.99,1928.89,1894.82,1913.25,33787784
2023-01-19,1900.37,1903.17,1869.14,1889.84,31488410
2023-01-20,1895.41,1901.03,1879.51,1892.32,21735938
2023-01-23,1899.2,1928.67,1899.2,1923.15,18780276
2023-01-24,1928.95,1945.78,1912.85,1918.6,18021838
2023-01-25,1906.22,1906.22,1879.52,1886.24,20432082
2023-01-26,1900.83,1920.18,1892.13,1911.61,16709511
2023-01-27,1916.61,1925.94,1909.33,1911.5,16290933
2023-01-30,1909.48,1909.48,1882.38,1889.82,15589284
2023-01-31,1886.96,1905.89,1876.42,1902.25,24133015
2023-02-01,1903.59,1911.39,1871.93,1871.93,22199674
2023-02-02,1886.33,1919.26,1882.56,1903.79,26007892
2023-02-03,1903.48,1917.69,1896.18,1906.13,18912038
2023-02-06,1902.31,1902.31,1863.26,1864.76,15983401
2023-02-07,1869.42,1877.28,1858.79,1870.87,14142774
2023-02-08,1882.32,1898.52,1882.32,1886.68,13396896
2023-02-09,1892.88,1912.32,1889.24,1896.24,12167375
2023-02-10,1891.84,1891.84,1838.33,1848.04,19717621
2023-02-13,1855.31,1863.95,1837.88,1853.29,13482430
2023-02-14,1858.47,1868.44,1841.76,1852.67,12571402
2023-02-15,1850.59,1871.47,1844.73,1870.03,11203817
2023-02-16,1872.93,1883.67,1841.85,1865.51,18647941
2023-02-17,1859.27,1867.81,1846.46,1859.26,14925672
2023-02-20,1860.87,1863.76,1842.43,1849.48,9560418
2023-02-21,1847.82,1847.82,1813.26,1825.89,14625476
2023-02-22,1822.56,1823.79,1786.67,1796.87,17929916
2023-02-23,1797.8,1826.45,1797.8,1824.76,13122671
2023-02-24,1828.33,1832.76,1802.1,1807.31,11536841
2023-02-27,1810.71,1828.27,1806.5,1820.79,8394196
2023-02-28,1821.3,1847.94,1810.98,1847.94,27049126
2023-03-01,1855.26,1868.54,1845.77,1856.22,16207612
2023-03-02,1850.34,1850.34,1813.37,1817.77,16033310
2023-03-03,1821.93,1841.85,1820.13,1841.85,12693089
2023-03-06,1849.05,1878.93,1849.05,1873.63,13145268
2023-03-07,1870.17,1883.31,1853.4,1853.4,12943645
2023-03-08,1853.32,1864.49,1842.48,1860.83,12133062
2023-03-09,1859.12,1859.12,1835.94,1835.94,10603394
2023-03-10,1820.21,1820.21,1786.18,1799.58,16072659
2023-03-13,1805.3,1814.07,1733.83,1753.3,22597089
2023-03-14,1752.13,1769.37,1737.77,1755.3,18607938
2023-03-15,1761.1,1766.16,1702.2,1707.42,20763488
2023-03-16,1718.65,1727.07,1669.53,1706.55,26682158
2023-03-17,1716.42,1730.29,1671.67,1678.16,37077467
2023-03-20,1671.55,1689.36,1626.01,1686.56,21357470
2023-03-21,1694.95,1724.01,1694.95,1719.16,23349958
2023-03-22,1721.09,1732.74,1704.93,1707.29,16424086
2023-03-23,1706.81,1714.42,1680.9,1705.91,12509380
2023-03-24,1700.07,1700.07,1661.51,1670.18,16319241
2023-03-27,1684.13,1695.07,1665.93,1686.96,10210972
2023-03-28,1694.46,1712.77,1686.26,1694.12,14047878
2023-03-29,1701.93,1712.3,1685.64,1709.39,16053905
2023-03-30,1715.56,1764.19,1715.56,1763.29,26179385
2023-03-31,1768.95,1776.97,1754.07,1758.56,18837644
